Type,MidSize,Count,SampleWeight,CubeRoot,TuberWeight
EB Field - Plot 12 Guard 1,57.5,1,0.1329,5.1030,132.90
EB Field - Plot 12 Guard 1,57.5,1,0.133,5.1040,133.00
EB Field - Plot 24 Guard 1,57.5,1,0.111,4.8060,111.00
EB Field - Plot 24 Guard 1,57.5,1,0.1172,4.8940,117.20
EB Field - Plot 24 Guard 1,57.5,1,0.1246,4.9950,124.60
EB Field - Plot 24 Guard 1,57.5,1,0.1252,5.0030,125.20
EB Field - Plot 24 Guard 1,57.5,1,0.1314,5.0840,131.40
EB Field - Plot 24 Guard 1,57.5,1,0.1317,5.0880,131.70
EB Field - Plot 24 Guard 1,57.5,1,0.1344,5.1220,134.40
EB Field - Plot 24 Guard 1,57.5,1,0.1386,5.1750,138.60
EB Field - Plot 24 Guard 1,57.5,1,0.1421,5.2180,142.10
EB Field - Plot 24 Guard 1,57.5,1,0.1422,5.2200,142.20
EB Field - Plot 24 Guard 2,57.5,1,0.1223,4.9640,122.30
EB Field - Plot 24 Guard 2,57.5,1,0.1239,4.9850,123.90
EB Field - Plot 24 Guard 2,57.5,1,0.1422,5.2200,142.20
EB Field - Plot 24 Guard 2,57.5,1,0.1482,5.2920,148.20
EB Field - Plot 24 Guard 2,57.5,1,0.1523,5.3400,152.30
EB Field - Plot 1 Guard 2,57.5,1,0.1008,4.6540,100.80
EB Field - Plot 1 Guard 2,57.5,1,0.1064,4.7390,106.40
EB Field - Plot 1 Guard 2,57.5,1,0.11,4.7910,110.00
EB Field - Plot 1 Guard 2,57.5,1,0.1106,4.8000,110.60
EB Field - Plot 1 Guard 2,57.5,1,0.1174,4.8970,117.40
EB Field - Plot 1 Guard 2,57.5,1,0.1192,4.9210,119.20
EB Field - Plot 1 Guard 2,57.5,1,0.1301,5.0670,130.10
EB Field - Plot 1 Guard 2,57.5,1,0.1304,5.0710,130.40
EB Field - Plot 1 Guard 2,57.5,1,0.1322,5.0940,132.20
EB Field - Plot 1 Guard 2,57.5,1,0.1372,5.1580,137.20
EB Field - Plot 1 Guard 2,57.5,1,0.1415,5.2110,141.50
EB Field - Plot 1 Guard 2,57.5,1,0.1533,5.3520,153.30
EB Field - Plot 1 Guard 1,57.5,1,0.1168,4.8880,116.80
EB Field - Plot 1 Guard 1,57.5,1,0.1245,4.9930,124.50
EB Field - Plot 1 Guard 1,57.5,1,0.1267,5.0230,126.70
EB Field - Plot 1 Guard 1,57.5,1,0.1446,5.2490,144.60
APT Farming,57.5,1,0.1677,5.5146,167.70
APT Farming,57.5,1,0.16,5.4288,160.00
APT Farming,57.5,1,0.1461,5.2668,146.10
APT Farming,57.5,1,0.1377,5.1639,137.70
APT Farming,57.5,1,0.1469,5.2764,146.90
APT Farming 2,57.5,1,0.133,5.1045,133.00
APT Farming 2,57.5,1,0.1436,5.2366,143.60
APT Farming 2,57.5,1,0.127,5.0265,127.00
APT Farming 2,57.5,1,0.1322,5.0942,132.20
APT Farming 2,57.5,1,0.1292,5.0554,129.20
APT Farming 2,57.5,1,0.1306,5.0736,130.60
APT Farming 3,57.5,1,0.1352,5.1325,135.20
APT Farming 3,57.5,1,0.1483,5.2931,148.30
Park Farm,57.5,1,0.1309,5.0775,130.90
Park Farm,57.5,1,0.1646,5.4804,164.60
Park Farm,57.5,1,0.1412,5.2073,141.20
Park Farm,57.5,1,0.1093,4.7812,109.30
Park Farm,57.5,1,0.1665,5.5014,166.50
Park Farm,57.5,1,0.1532,5.3508,153.20
Park Farm,57.5,1,0.121,4.9461,121.00
Park Farm,57.5,1,0.1446,5.2488,144.60
Salmons,57.5,1,0.1019,4.6708,101.90
Salmons,57.5,1,0.1022,4.6754,102.20
Salmons,57.5,1,0.1374,5.1601,137.40
Salmons,57.5,1,0.1544,5.3647,154.40
Salmons,57.5,1,0.1047,4.7132,104.70
Salmons,57.5,1,0.1592,5.4198,159.20
Salmons,57.5,1,0.1323,5.0955,132.30
Salmons,57.5,1,0.1219,4.9583,121.90
Salmons,57.5,1,0.1108,4.8030,110.80
Salmons,57.5,1,0.1202,4.9352,120.20
Salmons,57.5,1,0.112,4.8203,112.00
A,52.5,3,0.3,4.641588826,100.00
A,52.5,1,0.12,4.932424141,120.00
A,52.5,1,0.08,4.308869374,80.00
A,52.5,4,0.48,4.932424141,120.00
A,52.5,3,0.46,5.35236257,153.33
A,52.5,2,0.15,4.21716332,75.00
A,52.5,4,0.4,4.641588826,100.00
A,52.5,8,0.74,4.522520841,92.50
A,52.5,4,0.46,4.862944123,115.00
A,52.5,5,0.58,4.876998953,116.00
A,52.5,16,1.39,4.428924449,86.88
A,52.5,19,1.61,4.392287483,84.74
A,52.5,17,1.43,4.381562773,84.12
A,52.5,2,0.24,4.932424141,120.00
A,52.5,3,0.34,4.839337227,113.33
A,52.5,21,2.06,4.611929302,98.10
A,52.5,9,0.8,4.462886327,88.89
A,52.5,15,1.3,4.425381308,86.67
A,52.5,17,1.88,4.799945526,110.59
A,52.5,17,1.77,4.704441954,104.12
A,52.5,7,0.72,4.685379986,102.86
A,52.5,16,1.7,4.736341179,106.25
A,52.5,8,0.76,4.562902628,95.00
A,52.5,16,1.31,4.342272795,81.88
A,52.5,13,1.31,4.653459949,100.77
A,52.5,7,0.62,4.45756703,88.57
A,52.5,9,0.86,4.571779893,95.56
A,52.5,7,0.62,4.45756703,88.57
A,52.5,6,0.54,4.48140474,90.00
A,52.5,16,1.581,4.623142668,98.81
A,52.5,12,1.080,4.481404747,90.00
A,52.5,10,0.917,4.509445182,91.70
A,52.5,9,0.800,4.462886334,88.89
A,52.5,15,1.295,4.419700459,86.33
A,52.5,21,2.060,4.611929309,98.10
EB Field - Dig 1,72.5,1,0.2787,6.5320,278.70
EB Field - Dig 1,72.5,1,0.2794,6.5370,279.40
EB Field - Dig 1,72.5,1,0.286,6.5890,286.00
EB Field - Dig 1,72.5,1,0.3014,6.7050,301.40
EB Field - Dig 1,72.5,1,0.3137,6.7950,313.70
EB Field - Dig 1,72.5,1,0.3188,6.8310,318.80
EB Field - Dig 1,72.5,1,0.3259,6.8820,325.90
EB Field - Dig 1,72.5,1,0.3333,6.9330,333.30
EB Field - Dig 1,72.5,1,0.343,7.0000,343.00
EB Field - Dig 2,72.5,1,0.2242,6.0750,224.20
EB Field - Dig 2,72.5,1,0.2415,6.2270,241.50
EB Field - Dig 2,72.5,1,0.2438,6.2470,243.80
EB Field - Dig 2,72.5,1,0.244,6.2490,244.00
EB Field - Dig 2,72.5,1,0.2536,6.3300,253.60
EB Field - Dig 2,72.5,1,0.2548,6.3400,254.80
EB Field - Plot 12 Guard 2,52.5,1,0.0883,4.4530,88.30
EB Field - Plot 12 Guard 2,52.5,1,0.0914,4.5050,91.40
EB Field - Plot 12 Guard 2,52.5,1,0.0976,4.6040,97.60
EB Field - Plot 12 Guard 2,52.5,1,0.1066,4.7420,106.60
EB Field - Plot 12 Guard 2,52.5,1,0.1135,4.8420,113.50
EB Field - Plot 12 Guard 2,52.5,1,0.1163,4.8810,116.30
EB Field - Plot 12 Guard 2,52.5,1,0.1166,4.8850,116.60
EB Field - Plot 12 Guard 2,52.5,1,0.1215,4.9530,121.50
EB Field - Plot 12 Guard 1,52.5,1,0.1033,4.6920,103.30
EB Field - Plot 12 Guard 1,52.5,1,0.1211,4.9470,121.10
EB Field - Plot 12 Guard 1,52.5,1,0.1248,4.9970,124.80
EB Field - Plot 24 Guard 1,52.5,1,0.0931,4.5320,93.10
EB Field - Plot 24 Guard 1,52.5,1,0.0957,4.5740,95.70
EB Field - Plot 24 Guard 1,52.5,1,0.1136,4.8430,113.60
EB Field - Plot 24 Guard 2,52.5,1,0.081,4.3270,81.00
EB Field - Plot 24 Guard 2,52.5,1,0.0844,4.3860,84.40
EB Field - Plot 24 Guard 2,52.5,1,0.0913,4.5030,91.30
EB Field - Plot 1 Guard 2,52.5,1,0.0874,4.4380,87.40
EB Field - Plot 1 Guard 2,52.5,1,0.0976,4.6040,97.60
EB Field - Plot 1 Guard 1,52.5,1,0.0802,4.3120,80.20
EB Field - Plot 1 Guard 1,52.5,1,0.0919,4.5130,91.90
EB Field - Plot 1 Guard 1,52.5,1,0.1039,4.7010,103.90
EB Field - Plot 1 Guard 1,52.5,1,0.1051,4.7190,105.10
EB Field - Plot 1 Guard 1,52.5,1,0.1068,4.7440,106.80
EB Field - Plot 1 Guard 1,52.5,1,0.1104,4.7970,110.40
APT Farming,52.5,1,0.1,4.6416,100.00
APT Farming 2,52.5,1,0.1132,4.8374,113.20
APT Farming 2,52.5,1,0.1013,4.6616,101.30
APT Farming 2,52.5,1,0.0837,4.3743,83.70
APT Farming 2,52.5,1,0.0996,4.6354,99.60
APT Farming 3,52.5,1,0.1284,5.0449,128.40
APT Farming 3,52.5,1,0.113,4.8346,113.00
APT Farming 3,52.5,1,0.0859,4.4123,85.90
APT Farming 3,52.5,1,0.1265,5.0199,126.50
APT Farming 3,52.5,1,0.1099,4.7900,109.90
APT Farming 3,52.5,1,0.1441,5.2427,144.10
Park Farm,52.5,1,0.1019,4.6708,101.90
Park Farm,52.5,1,0.0968,4.5915,96.80
Park Farm,52.5,1,0.0881,4.4496,88.10
Park Farm,52.5,1,0.1073,4.7519,107.30
Park Farm,52.5,1,0.0878,4.4446,87.80
Park Farm,52.5,1,0.0885,4.4564,88.50
Salmons,52.5,1,0.1105,4.7987,110.50
Salmons,52.5,1,0.2037,5.8839,203.70
Salmons,52.5,1,0.1,4.6416,100.00
Salmons,52.5,1,0.1325,5.0981,132.50
Salmons,52.5,1,0.0874,4.4378,87.40
Salmons,52.5,1,0.0924,4.5209,92.40
Salmons,52.5,1,0.0927,4.5258,92.70
Salmons,52.5,1,0.0904,4.4880,90.40
A,47.5,17,1.3,4.244548265,76.47
A,47.5,22,1.66,4.225665689,75.45
A,47.5,21,1.62,4.25695023,77.14
A,47.5,20,1.7,4.396829666,85.00
A,47.5,24,1.9,4.29385577,79.17
A,47.5,12,0.9,4.21716332,75.00
A,47.5,10,0.64,3.999999994,64.00
A,47.5,11,0.82,4.208626529,74.55
A,47.5,2,0.15,4.21716332,75.00
A,47.5,5,0.54,4.762203148,108.00
A,47.5,16,1.36,4.396829666,85.00
A,47.5,5,0.38,4.235823578,76.00
A,47.5,9,0.55,3.938885829,61.11
A,47.5,12,0.81,4.071626419,67.50
A,47.5,10,0.75,4.21716332,75.00
A,47.5,13,1.12,4.416635472,86.15
A,47.5,10,0.82,4.344481479,82.00
A,47.5,6,0.42,4.121285294,70.00
A,47.5,24,1.73,4.161772024,72.08
A,47.5,21,1.4,4.054801325,66.67
A,47.5,20,1.4,4.121285294,70.00
A,47.5,23,1.69,4.188446337,73.48
A,47.5,20,1.36,4.081655096,68.00
A,47.5,7,0.49,4.121285294,70.00
A,47.5,14,1.04,4.203732773,74.29
A,47.5,3,0.2,4.054801325,66.67
A,47.5,11,0.73,4.048648354,66.36
A,47.5,6,0.48,4.308869374,80.00
A,47.5,4,0.26,4.020725753,65.00
A,47.5,7,0.5,4.149132661,71.43
A,47.5,2,0.18,4.48140474,90.00
A,47.5,4,0.24,3.914867636,60.00
A,47.5,24,1.678,4.11964922,69.92
A,47.5,23,1.638,4.14503963,71.22
A,47.5,28,1.903,4.080940401,67.96
A,47.5,20,1.395,4.116373155,69.75
A,47.5,24,1.730,4.16177203,72.08
A,47.5,21,1.400,4.05480133,66.67
EB Field - Dig 2,72.5,1,0.2653,6.4260,265.30
EB Field - Dig 2,72.5,1,0.2675,6.4430,267.50
EB Field - Dig 2,72.5,1,0.2689,6.4550,268.90
EB Field - Dig 2,72.5,1,0.2741,6.4960,274.10
EB Field - Dig 2,72.5,1,0.2806,6.5470,280.60
EB Field - Dig 2,72.5,1,0.2909,6.6260,290.90
EB Field - Dig 2,72.5,1,0.2927,6.6400,292.70
EB Field - Dig 2,72.5,1,0.3033,6.7190,303.30
EB Field - Dig 2,72.5,1,0.3055,6.7350,305.50
EB Field - Dig 2,72.5,1,0.3125,6.7860,312.50
EB Field - Dig 2,72.5,1,0.323,6.8610,323.00
EB Field - Dig 2,72.5,1,0.3302,6.9120,330.20
EB Field - Dig 2,72.5,1,0.3308,6.9160,330.80
EB Field - Dig 2,72.5,1,0.3365,6.9560,336.50
EB Field - Plot 12 Guard 2,47.5,1,0.0543,3.7870,54.30
EB Field - Plot 12 Guard 2,47.5,1,0.0671,4.0640,67.10
EB Field - Plot 12 Guard 2,47.5,1,0.0682,4.0860,68.20
EB Field - Plot 12 Guard 2,47.5,1,0.0727,4.1740,72.70
EB Field - Plot 12 Guard 2,47.5,1,0.0768,4.2510,76.80
EB Field - Plot 12 Guard 2,47.5,1,0.0899,4.4800,89.90
EB Field - Plot 12 Guard 1,47.5,1,0.0623,3.9640,62.30
EB Field - Plot 12 Guard 1,47.5,1,0.0675,4.0720,67.50
EB Field - Plot 12 Guard 1,47.5,1,0.0716,4.1520,71.60
EB Field - Plot 24 Guard 1,47.5,1,0.0706,4.1330,70.60
EB Field - Plot 24 Guard 1,47.5,1,0.079,4.2910,79.00
EB Field - Plot 1 Guard 2,47.5,1,0.0651,4.0230,65.10
EB Field - Plot 1 Guard 2,47.5,1,0.0837,4.3740,83.70
EB Field - Plot 1 Guard 2,47.5,1,0.1018,4.6690,101.80
EB Field - Plot 1 Guard 1,47.5,1,0.06,3.9150,60.00
EB Field - Plot 1 Guard 1,47.5,1,0.079,4.2910,79.00
APT Farming,47.5,1,0.0785,4.2818,78.50
APT Farming,47.5,1,0.0776,4.2653,77.60
APT Farming,47.5,1,0.0769,4.2525,76.90
APT Farming 2,47.5,1,0.0694,4.1095,69.40
APT Farming 2,47.5,1,0.0755,4.2265,75.50
APT Farming 2,47.5,1,0.0627,3.9727,62.70
APT Farming 2,47.5,1,0.0605,3.9257,60.50
APT Farming 3,47.5,1,0.0587,3.8864,58.70
APT Farming 3,47.5,1,0.0659,4.0392,65.90
APT Farming 3,47.5,1,0.0777,4.2672,77.70
APT Farming 3,47.5,1,0.0873,4.4361,87.30
APT Farming 3,47.5,1,0.0799,4.3071,79.90
APT Farming 3,47.5,1,0.0984,4.6167,98.40
APT Farming 3,47.5,1,0.0736,4.1908,73.60
APT Farming 3,47.5,1,0.0897,4.4764,89.70
Park Farm,47.5,1,0.1098,4.7885,109.80
Park Farm,47.5,1,0.0715,4.1505,71.50
Park Farm,47.5,1,0.0699,4.1193,69.90
Park Farm,47.5,1,0.0722,4.1640,72.20
Park Farm,47.5,1,0.0623,3.9643,62.30
Salmons,47.5,1,0.1012,4.6601,101.20
Salmons,47.5,1,0.081,4.3267,81.00
Salmons,47.5,1,0.0624,3.9664,62.40
Salmons,47.5,1,0.0651,4.0228,65.10
Salmons,47.5,1,0.0937,4.5420,93.70
Salmons,47.5,1,0.0648,4.0166,64.80
A,42.5,21,1.12,3.764144111,53.33
A,42.5,26,1.5,3.864019444,57.69
A,42.5,24,1.3,3.783647796,54.17
A,42.5,23,1.34,3.87667137,58.26
A,42.5,17,1.08,3.990171945,63.53
A,42.5,20,1.16,3.870876635,58.00
A,42.5,10,0.43,3.503398056,43.00
A,42.5,16,0.87,3.788492421,54.38
A,42.5,5,0.23,3.583047866,46.00
A,42.5,3,0.12,3.419951889,40.00
A,42.5,7,0.4,3.851713566,57.14
A,42.5,5,0.22,3.530348331,44.00
A,42.5,9,0.36,3.419951889,40.00
A,42.5,12,0.45,3.347164746,37.50
A,42.5,11,0.42,3.367328876,38.18
A,42.5,5,0.3,3.914867636,60.00
A,42.5,2,0.08,3.419951889,40.00
A,42.5,15,0.78,3.732511152,52.00
A,42.5,12,0.63,3.744436189,52.50
A,42.5,22,1.12,3.70622499,50.91
A,42.5,7,0.37,3.752907793,52.86
A,42.5,11,0.54,3.661567329,49.09
A,42.5,7,0.33,3.612478736,47.14
A,42.5,13,0.68,3.739858634,52.31
A,42.5,5,0.28,3.82586236,56.00
A,42.5,4,0.23,3.859721309,57.50
A,42.5,3,0.16,3.764144111,53.33
A,42.5,4,0.2,3.684031494,50.00
A,42.5,4,0.18,3.5568933,45.00
A,42.5,5,0.4,4.308869374,80.00
A,42.5,2,0.1,3.684031494,50.00
A,42.5,26,1.633,3.975004387,62.81
A,42.5,18,0.871,3.644029493,48.39
A,42.5,17,0.840,3.669527287,49.41
A,42.5,12,0.625,3.734503955,52.08
A,42.5,15,0.775,3.724518603,51.67
A,42.5,22,1.120,3.706224995,50.91
EB Field - Dig 2,72.5,1,0.3437,7.0050,343.70
EB Field - Dig 2,72.5,1,0.389,7.3000,389.00
EB Field - Dig 1,77.5,1,0.2774,6.5220,277.40
EB Field - Plot 12 Guard 2,42.5,1,0.0426,3.4930,42.60
EB Field - Plot 12 Guard 2,42.5,1,0.0456,3.5730,45.60
EB Field - Plot 12 Guard 2,42.5,1,0.0518,3.7280,51.80
EB Field - Plot 12 Guard 1,42.5,1,0.0499,3.6820,49.90
EB Field - Plot 12 Guard 1,42.5,1,0.0518,3.7280,51.80
EB Field - Plot 12 Guard 1,42.5,1,0.0549,3.8010,54.90
EB Field - Plot 12 Guard 1,42.5,1,0.0622,3.9620,62.20
EB Field - Plot 12 Guard 1,42.5,1,0.0631,3.9810,63.10
EB Field - Plot 24 Guard 1,42.5,1,0.0369,3.3290,36.90
EB Field - Plot 24 Guard 1,42.5,1,0.0409,3.4450,40.90
EB Field - Plot 24 Guard 1,42.5,1,0.0489,3.6570,48.90
EB Field - Plot 24 Guard 2,42.5,1,0.062,3.9580,62.00
EB Field - Plot 1 Guard 2,42.5,1,0.0396,3.4090,39.60
EB Field - Plot 1 Guard 2,42.5,1,0.0445,3.5440,44.50
EB Field - Plot 1 Guard 2,42.5,1,0.0517,3.7250,51.70
EB Field - Plot 1 Guard 1,42.5,1,0.0461,3.5860,46.10
EB Field - Plot 1 Guard 1,42.5,1,0.051,3.7080,51.00
Early Baker,72.5,1,0.2908,6.6252,290.80
Early Baker,77.5,1,0.3126,6.7868,312.60
Early Baker,77.5,1,0.4199,7.4883,419.90
Early Baker,77.5,1,0.3619,7.1263,361.90
Early Baker,77.5,1,0.2711,6.4721,271.10
Early Baker,77.5,1,0.3309,6.9167,330.90
Early Baker,77.5,1,0.323,6.8612,323.00
Early Baker,77.5,1,0.3718,7.1907,371.80
Early Baker,77.5,1,0.2636,6.4118,263.60
APT Farming,42.5,1,0.0469,3.6063,46.90
APT Farming 2,42.5,1,0.0581,3.8731,58.10
APT Farming 2,42.5,1,0.0602,3.9192,60.20
APT Farming 3,42.5,1,0.0576,3.8620,57.60
APT Farming 3,42.5,1,0.043,3.5034,43.00
APT Farming 3,42.5,1,0.0628,3.9748,62.80
APT Farming 3,42.5,1,0.051,3.7084,51.00
Salmons,42.5,1,0.0484,3.6443,48.40
Salmons,42.5,1,0.0591,3.8952,59.10
A,37.5,27,1,3.333333329,37.04
A,37.5,42,1.54,3.322184974,36.67
A,37.5,32,1.18,3.328465112,36.88
A,37.5,22,0.92,3.471003474,41.82
A,37.5,25,1.04,3.464956417,41.60
A,37.5,33,1.32,3.419951889,40.00
A,37.5,9,0.29,3.182134233,32.22
A,37.5,20,0.69,3.255415032,34.50
A,37.5,7,0.23,3.202899155,32.86
A,37.5,5,0.16,3.1748021,32.00
A,37.5,9,0.32,3.288282762,35.56
A,37.5,6,0.18,3.107232502,30.00
A,37.5,2,0.07,3.271066306,35.00
A,37.5,6,0.18,3.107232502,30.00
A,37.5,5,0.1,2.714417614,20.00
A,37.5,3,0.08,2.987603161,26.67
A,37.5,8,0.3,3.347164746,37.50
A,37.5,5,0.2,3.419951889,40.00
A,37.5,9,0.33,3.322184974,36.67
A,37.5,9,0.3,3.218297945,33.33
A,37.5,10,0.32,3.1748021,32.00
A,37.5,10,0.34,3.239611797,34.00
A,37.5,4,0.15,3.347164746,37.50
A,37.5,4,0.15,3.347164746,37.50
A,37.5,11,0.42,3.367328876,38.18
A,37.5,2,0.08,3.419951889,40.00
A,37.5,5,0.17,3.239611797,34.00
A,37.5,3,0.1,3.218297945,33.33
A,37.5,2,0.06,3.107232502,30.00
A,37.5,1,0.04,3.419951889,40.00
A,37.5,2,0.06,3.107232502,30.00
A,37.5,19,0.690,3.311553913,36.32
A,37.5,15,0.541,3.303964219,36.07
A,37.5,21,0.830,3.406326443,39.52
A,37.5,10,0.315,3.158179799,31.50
A,37.5,9,0.295,3.200318255,32.78
A,37.5,9,0.330,3.322184978,36.67
EB Field - Dig 1,77.5,1,0.2845,6.5770,284.50
EB Field - Dig 1,77.5,1,0.3444,7.0100,344.40
EB Field - Dig 1,77.5,1,0.3653,7.1490,365.30
EB Field - Dig 1,77.5,1,0.3744,7.2070,374.40
EB Field - Dig 1,77.5,1,0.3847,7.2730,384.70
EB Field - Dig 1,77.5,1,0.3889,7.2990,388.90
EB Field - Plot 12 Guard 2,37.5,1,0.0264,2.9780,26.40
EB Field - Plot 12 Guard 1,37.5,1,0.0314,3.1550,31.40
EB Field - Plot 12 Guard 1,37.5,1,0.0348,3.2650,34.80
EB Field - Plot 12 Guard 1,37.5,1,0.041,3.4480,41.00
EB Field - Plot 24 Guard 1,37.5,1,0.0377,3.3530,37.70
EB Field - Plot 24 Guard 2,37.5,1,0.033,3.2080,33.00
EB Field - Plot 1 Guard 2,37.5,1,0.0272,3.0070,27.20
EB Field - Plot 1 Guard 2,37.5,1,0.0322,3.1810,32.20
Early Baker,77.5,1,0.3031,6.7173,303.10
Early Baker,77.5,1,0.3426,6.9973,342.60
Early Baker,77.5,1,0.3762,7.2189,376.20
